what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262644259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262654933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262656971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410262749284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262750051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262750672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262752010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262753051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262753927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262754794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262755675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410262756554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262758620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262759359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410262762917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262773653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262774561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262791858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262792768
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410262794766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410262815125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410262821750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410262828984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262831403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262832359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410262839508
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410262882495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410262884903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262889034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410262918371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410262977144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410262980251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410262981535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410262995550
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410263009637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410263105440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410266021222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410266021411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410266251265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410266252040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290557713
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1410290559107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290561759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290596167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290597511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290598826
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410290599717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290603631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290635336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290666083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290679981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1410290679992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290681934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410290688530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290690654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290735047
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410290735068
error,log,,,"Core exception while retrieving the content description",1410290736216
error,log,,,"Core exception while retrieving the content description",1410290736217
error,log,,,"Core exception while retrieving the content description",1410290736218
error,log,,,"Core exception while retrieving the content description",1410290736220
error,log,,,"Core exception while retrieving the content description",1410290736223
error,log,,,"Core exception while retrieving the content description",1410290736224
error,log,,,"Core exception while retrieving the content description",1410290736226
error,log,,,"Core exception while retrieving the content description",1410290736227
error,log,,,"Core exception while retrieving the content description",1410290736234
error,log,,,"Core exception while retrieving the content description",1410290736235
error,log,,,"Core exception while retrieving the content description",1410290736241
error,log,,,"Core exception while retrieving the content description",1410290736242
error,log,,,"Core exception while retrieving the content description",1410290736244
error,log,,,"Core exception while retrieving the content description",1410290736245
error,log,,,"Core exception while retrieving the content description",1410290736246
error,log,,,"Core exception while retrieving the content description",1410290736246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290740777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290745937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1410290745947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410290749174
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290749250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290754102
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290807614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290807664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290807762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290811149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290811849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290815589
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290816310
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1410290821861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290822274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290825302
error,log,,,"Unhandled event loop exception",1410290825320
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410290829516
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290829539
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410290829552
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1410290830719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290830740
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1410290830788
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1410290830792
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1410290830998
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290831012
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1410290831026
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1410290831029
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1410290831458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290831868
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.SourceView",1410290831891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290833261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290835531
error,log,,,"Unhandled event loop exception",1410290835538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290840015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290841712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410290843408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290846285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290851473
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1410290851495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290853993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290858402
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290858449
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410290858500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410290861261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290865970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290867214
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410290867492
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410290869361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410290875796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410298169369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410298169373
